StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2022/09/05 15:17:47.081964,0.001060,udp,137.184.18.211,34064,  <->,67.207.67.2,53,CON,0,0,2,258,101,1
2022/09/05 15:17:47.082048,0.000866,udp,137.184.18.211,40394,  <->,67.207.67.2,53,CON,0,0,2,258,101,1
2022/09/05 15:17:47.086447,0.103567,tcp,137.184.18.211,36812,   ->,104.16.182.15,443,FSPA_FSPA,0,0,62,120682,2045,25
2022/09/05 15:17:49.431459,0.000049,tcp,193.163.125.51,42365,   ->,137.184.18.211,50996,S_RA,0,0,2,112,58,1
2022/09/05 15:17:50.746171,0.172155,tcp,40.115.49.158,50098,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:17:53.806787,0.355826,tcp,116.62.223.211,54170,   ->,137.184.18.211,3389,SRPAEC_SRAE,0,0,8,505,331,5
2022/09/05 15:17:59.738633,60.402321,tcp,91.198.115.205,41281,   ->,137.184.18.211,18080,FSPA_SA,0,0,47,3825,2263,24
2022/09/05 15:18:00.793863,0.084891,tcp,92.63.197.169,47138,   ->,137.184.18.211,18370,SR_RA,0,0,3,166,112,2
2022/09/05 15:18:04.980599,0.084047,tcp,185.156.73.160,47167,   ->,137.184.18.211,15724,SR_RA,0,0,3,166,112,2
2022/09/05 15:18:05.645977,15.110994,tcp,91.198.115.7,17112,   ->,137.184.18.211,18080,FSPA_SA,0,0,24,1989,1321,14
2022/09/05 15:18:11.110303,0.170469,tcp,54.149.99.181,54661,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:18:13.162675,0.222431,tcp,40.115.49.158,54789,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:18:20.718057,15.142914,tcp,91.198.115.8,36049,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:18:21.977003,0.091988,tcp,89.248.165.118,42000,   ->,137.184.18.211,1945,SR_RA,0,0,3,166,112,2
2022/09/05 15:18:35.497997,0.180485,tcp,40.115.49.158,58920,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:18:35.817831,22.056145,tcp,91.198.115.9,22181,   ->,137.184.18.211,18080,FSPA_SA,0,0,14,1255,905,9
2022/09/05 15:18:35.983143,0.166759,tcp,54.149.99.181,61085,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:18:36.747632,0.012776,tcp,137.184.18.211,56936,   ->,169.254.169.254,80,FSPA_FSPA,0,0,10,2113,1548,5
2022/09/05 15:18:38.307520,5.289436,tcp,165.173.13.190,45384,   ->,137.184.18.211,18080,FSPA_SA,0,0,7,754,548,4
2022/09/05 15:18:51.529132,0.112129,tcp,79.124.62.86,46824,   ->,137.184.18.211,14290,SR_RA,0,0,3,166,112,2
2022/09/05 15:18:54.342161,0.000053,tcp,162.142.125.92,3944,   ->,137.184.18.211,18054,S_RA,0,0,2,112,58,1
2022/09/05 15:18:56.487609,0.112507,tcp,91.191.209.210,51035,   ->,137.184.18.211,919,SR_RA,0,0,3,166,112,2
2022/09/05 15:18:57.814308,0.171962,tcp,40.115.49.158,63464,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:18:57.873884,15.271076,tcp,91.198.115.10,10798,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:18:59.852873,0.110679,tcp,194.26.29.86,53388,   ->,137.184.18.211,4090,SR_RA,0,0,3,166,112,2
2022/09/05 15:19:00.098532,60.374428,tcp,91.198.115.205,61415,   ->,137.184.18.211,18080,FSPA_SA,0,0,57,4597,2741,29
2022/09/05 15:19:00.646980,0.167920,tcp,54.149.99.181,51131,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:19:13.101428,15.323527,tcp,91.198.115.11,38192,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:19:20.607681,0.169254,tcp,40.115.49.158,51471,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:19:21.449877,0.000053,tcp,92.255.85.70,56050,   ->,137.184.18.211,22,S_RA,0,0,2,128,74,1
2022/09/05 15:19:25.010839,0.165030,tcp,54.149.99.181,57562,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:19:27.839771,5.149187,tcp,158.174.73.234,34242,   ->,137.184.18.211,18080,FSPA_SA,0,0,7,772,566,4
2022/09/05 15:19:28.385124,15.051838,tcp,91.198.115.12,23148,   ->,137.184.18.211,18080,FSPA_SA,0,0,27,2247,1345,14
2022/09/05 15:19:46.552243,0.175053,tcp,40.115.49.158,56612,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:19:51.637778,0.173406,tcp,54.149.99.181,63986,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:19:53.398494,15.146509,tcp,91.198.115.13,36868,   ->,137.184.18.211,18080,FSPA_SA,0,0,27,2328,1426,14
2022/09/05 15:20:00.428033,60.435429,tcp,91.198.115.205,19930,   ->,137.184.18.211,18080,FSPA_SA,0,0,74,6049,3545,38
2022/09/05 15:20:01.459690,37.393299,tcp,116.62.223.211,58144,   ->,137.184.18.211,3389,SEC_SAE,0,0,11,726,198,3
2022/09/05 15:20:08.503323,15.209661,tcp,91.198.115.14,21203,   ->,137.184.18.211,18080,FSPA_SA,0,0,27,2247,1345,14
2022/09/05 15:20:08.556601,0.166618,tcp,40.115.49.158,60963,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:20:10.109995,0.267143,tcp,36.137.214.163,51003,   ->,137.184.18.211,2375,SR_RA,0,0,3,166,112,2
2022/09/05 15:20:16.678353,0.166202,tcp,54.149.99.181,54040,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:20:23.673277,15.207694,tcp,91.198.115.15,55098,   ->,137.184.18.211,18080,FSPA_SA,0,0,27,2328,1426,14
2022/09/05 15:20:24.837762,0.000061,tcp,162.243.73.244,38063,   ->,137.184.18.211,22,S_RA,0,0,2,128,74,1
2022/09/05 15:20:31.159814,0.171145,tcp,40.115.49.158,50062,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:20:36.760876,0.007355,tcp,137.184.18.211,41712,   ->,169.254.169.254,80,FSPA_FSPA,0,0,10,2100,1535,5
2022/09/05 15:20:38.837393,15.471633,tcp,91.198.115.16,62457,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:20:41.567889,0.174637,tcp,54.149.99.181,60471,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:20:51.150547,0.096594,tcp,45.143.203.15,44449,   ->,137.184.18.211,4227,SR_RA,0,0,3,166,112,2
2022/09/05 15:20:52.466495,0.104694,tcp,79.124.62.78,46825,   ->,137.184.18.211,59042,SR_RA,0,0,3,166,112,2
2022/09/05 15:20:53.661109,0.179973,tcp,40.115.49.158,54844,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
2022/09/05 15:20:54.265288,15.123755,tcp,91.198.115.17,33733,   ->,137.184.18.211,18080,FSPA_SA,0,0,21,1791,1123,11
2022/09/05 15:21:00.863636,60.517311,tcp,91.198.115.205,51045,   ->,137.184.18.211,18080,FSPA_SA,0,0,63,5053,2963,32
2022/09/05 15:21:01.326964,0.000054,tcp,177.184.133.130,48267,   ->,137.184.18.211,58992,S_RA,0,0,2,110,56,1
2022/09/05 15:21:01.950219,0.000058,udp,130.225.39.237,57466,   ->,137.184.18.211,64442,INT,0,,1,56,56,1
2022/09/05 15:21:01.950277,0.000000,icmp,137.184.18.211,0x0303,   ->,130.225.39.237,0xbafb,URP,192,,1,70,70,1
2022/09/05 15:21:06.701725,0.170390,tcp,54.149.99.181,50518,   ->,137.184.18.211,3389,SRPAEC_SPA,0,0,7,468,275,4
2022/09/05 15:21:06.857440,0.000054,udp,130.225.39.237,57466,   ->,137.184.18.211,44133,INT,0,,1,56,56,1
2022/09/05 15:21:06.857494,0.000000,icmp,137.184.18.211,0x0303,   ->,130.225.39.237,0x65ac,URP,192,,1,70,70,1
2022/09/05 15:21:09.348415,15.156549,tcp,91.198.115.18,58637,   ->,137.184.18.211,18080,FSPA_SA,0,0,22,1857,1123,11
2022/09/05 15:21:15.533231,0.173474,tcp,40.115.49.158,59126,   ->,137.184.18.211,3389,SRPA_SPA,0,0,7,468,275,4
