StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
16:08:37.133245,          ,tcp,137.184.18.211,49616,  <->,169.254.169.254,http,10,2112,CON
16:08:39.373496,          ,tcp,63.229.31.6,52318,  <->,137.184.18.211,18080,7,754,CON
16:08:47.787869,          ,tcp,54.149.99.181,59742,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:08:48.504669,          ,tcp,40.115.49.158,55130,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:08:50.624984,          ,tcp,167.248.133.146,40814,  <->,137.184.18.211,9076,2,112,CON
16:08:50.853539,          ,tcp,199.201.110.187,52480,  <->,137.184.18.211,43000,3,166,CON
16:08:53.463117,          ,tcp,91.121.110.58,38856,  <->,137.184.18.211,18080,11,1042,CON
16:08:57.281764,          ,tcp,91.198.115.187,44729,  <->,137.184.18.211,18080,21,1791,CON
16:09:10.074686,          ,tcp,40.115.49.158,59662,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:09:12.296471,          ,tcp,91.198.115.188,56440,  <->,137.184.18.211,18080,39,3891,CON
16:09:12.455471,          ,tcp,54.149.99.181,49789,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:09:18.654171,          ,tcp,209.222.252.209,10508,  <->,137.184.18.211,18080,63,5134,CON
16:09:27.576884,          ,tcp,91.198.115.189,45941,  <->,137.184.18.211,18080,26,2157,CON
16:09:29.886757,          ,tcp,185.156.73.54,45248,  <->,137.184.18.211,14459,3,166,CON
16:09:29.942522,          ,tcp,183.136.225.42,omniorb,  <->,137.184.18.211,23023,2,112,CON
16:09:31.753130,          ,tcp,40.115.49.158,64281,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:09:32.272154,          ,tcp,142.93.158.236,56556,  <->,137.184.18.211,http-alt,2,110,CON
16:09:36.651017,          ,tcp,54.149.99.181,56221,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:09:42.294969,          ,tcp,116.62.223.211,57217,  <->,137.184.18.211,ms-wbt-server,23,1687,CON
16:09:43.128672,          ,tcp,91.198.115.190,29250,  <->,137.184.18.211,18080,25,2055,CON
16:09:53.647626,          ,tcp,40.115.49.158,52689,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:09:58.250893,          ,tcp,91.198.115.191,2200,  <->,137.184.18.211,18080,26,2157,CON
16:10:04.675439,          ,tcp,54.149.99.181,62645,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:10:11.016398,          ,tcp,185.156.73.157,47193,  <->,137.184.18.211,61920,3,166,CON
16:10:13.492820,          ,tcp,91.198.115.192,45996,  <->,137.184.18.211,18080,21,1791,CON
16:10:17.557219,          ,tcp,194.26.29.86,53388,  <->,137.184.18.211,33066,3,166,CON
16:10:18.934229,          ,tcp,40.115.49.158,57242,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:10:19.005985,          ,tcp,209.222.252.209,3291,  <->,137.184.18.211,18080,69,6370,CON
16:10:21.657608,          ,tcp,91.198.115.202,11623,  <->,137.184.18.211,18080,78,6179,CON
16:10:29.222682,          ,tcp,54.149.99.181,52700,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:10:37.144002,          ,tcp,137.184.18.211,35116,  <->,169.254.169.254,http,10,2098,CON
16:10:37.448207,          ,tcp,185.225.73.142,25204,  <->,137.184.18.211,4939,2,116,CON
16:10:38.505752,          ,tcp,91.198.115.193,20138,  <->,137.184.18.211,18080,26,2157,CON
16:10:40.943707,          ,tcp,40.115.49.158,61936,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:10:41.149613,          ,udp,130.225.39.237,57466,   ->,137.184.18.211,8840,1,56,REQ
16:10:41.149613,          ,icmp,137.184.18.211,0x0303,   ->,130.225.39.237,0x8822,1,70,URP
16:10:54.102748,          ,tcp,91.198.115.194,13738,  <->,137.184.18.211,18080,27,2247,CON
16:10:54.156587,          ,tcp,147.182.142.48,43769,  <->,137.184.18.211,http-alt,2,110,CON
16:10:55.772657,          ,tcp,54.149.99.181,59122,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:10:56.488557,          ,tcp,92.63.197.154,47020,  <->,137.184.18.211,25688,3,166,CON
16:11:00.352441,          ,tcp,123.59.135.231,59442,  <->,137.184.18.211,18080,7,682,CON
16:11:02.351726,          ,tcp,40.115.49.158,49508,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:11:04.599790,          ,tcp,92.63.197.158,47085,  <->,137.184.18.211,61195,3,166,CON
16:11:05.111594,          ,tcp,92.63.197.131,58801,  <->,137.184.18.211,30779,3,166,CON
16:11:09.125148,          ,tcp,91.198.115.195,25276,  <->,137.184.18.211,18080,33,2784,CON
16:11:16.301496,          ,tcp,91.240.118.221,53127,  <->,137.184.18.211,5608,3,166,CON
16:11:19.346161,          ,tcp,209.222.252.209,65234,  <->,137.184.18.211,18080,72,5869,CON
16:11:21.017747,          ,tcp,54.149.99.181,49171,  <->,137.184.18.211,ms-wbt-server,7,468,CON
16:11:21.990410,          ,tcp,91.198.115.202,54269,  <->,137.184.18.211,18080,63,5053,CON
